event_date, event_name                                      , event_type             , description                                                                                      , expected_impact                                      , region       , severity , year
2012-07-01, EU imposes oil embargo on Iran                  , Geopolitical/Sanctions , European Union imposes full oil embargo on Iran over nuclear program concerns                    , Price increase due to supply concerns                , Middle East  , High     , 2012
2014-06-20, ISIS captures Iraqi oil fields                  , Geopolitical/Conflict  , "ISIS militants capture key oil fields in northern Iraq, disrupting production"                  , Price spike due to supply disruption fears           , Middle East  , Medium   , 2014
2014-11-27, OPEC maintains production despite price drop    , OPEC Decision          , "OPEC decides to maintain production levels despite falling prices, targeting US shale producers", Price decrease due to oversupply concerns            , Global       , High     , 2014
2015-07-14, Iran nuclear deal signed                        , Geopolitical/Diplomatic, "P5+1 countries sign Joint Comprehensive Plan of Action with Iran, lifting oil sanctions"        , Price decrease as Iranian oil returns to market      , Middle East  , High     , 2015
2016-02-16, Doha freeze agreement fails                     , OPEC Decision          , OPEC and Russia fail to agree on production freeze at Doha meeting                               , Price volatility and uncertainty                     , Global       , Medium   , 2016
2016-11-30, OPEC+ production cut agreement                  , OPEC Decision          , OPEC and non-OPEC producers agree to cut production by 1.8 million barrels per day               , Price increase due to coordinated supply reduction   , Global       , High     , 2016
2017-11-05, Saudi Arabia anti-corruption crackdown          , Geopolitical/Political , Saudi Crown Prince arrests royals and businessmen in anti-corruption purge                       , Price volatility due to political uncertainty        , Middle East  , Medium   , 2017
2018-05-08, US withdraws from Iran nuclear deal             , Geopolitical/Sanctions , US unilaterally withdraws from JCPOA and reimposes sanctions on Iran                             , Price increase due to expected supply reduction      , Middle East  , High     , 2018
2018-12-07, OPEC+ agrees to cut production                  , OPEC Decision          , OPEC and allies agree to cut 1.2 million barrels per day to stabilize prices                     , Price increase due to supply reduction               , Global       , High     , 2018
2019-09-14, Drone attacks on Saudi Aramco facilities        , Geopolitical/Attack    , Drone attacks on Abqaiq and Khurais oil facilities disrupt 5.7 million bpd production            , Largest price spike in history due to supply shock   , Middle East  , Very High, 2019
2020-03-06, OPEC+ price war begins                          , OPEC Decision          , "Russia rejects OPEC production cuts, leading to Saudi-Russia price war"                         , Price collapse due to oversupply fears               , Global       , Very High, 2020
2020-04-12, OPEC+ historic production cut                   , OPEC Decision          , "OPEC+ agrees to cut 9.7 million bpd, largest reduction in history"                              , Price stabilization after historic collapse          , Global       , Very High, 2020
2020-04-20, WTI crude futures go negative                   , Economic/Market        , WTI May 2020 futures contract closes at -$37.63 due to storage capacity concerns                 , Extreme market volatility and panic selling          , Global       , Very High, 2020
2021-11-23, US announces strategic petroleum reserve release, Government Policy      , US coordinates with other countries to release 50 million barrels from SPR                       , Temporary price decrease from increased supply       , North America, Medium   , 2021
2022-02-24, Russia invades Ukraine                          , Geopolitical/Conflict  , Full-scale Russian invasion of Ukraine begins                                                    , Massive price spike due to sanctions and supply fears, Europe       , Very High, 2022
2022-03-08, US bans Russian oil imports                     , Economic/Sanctions     , "US announces ban on Russian oil, gas, and energy imports"                                       , Further price increase and market dislocation        , Global       , High     , 2022
2022-06-02, EU agrees to partial Russian oil embargo        , Economic/Sanctions     , EU agrees to ban 90% of Russian oil imports by end of 2022                                       , Structural market change and price support           , Europe       , High     , 2022
